iter	Passed	Remaining
0	62	6143
1	65	3193
2	68	2208
3	71	1717
4	74	1420
5	78	1223
6	81	1080
7	84	974
8	87	888
9	91	819
10	94	762
11	97	713
12	100	673
13	104	640
14	107	611
15	111	584
16	114	561
17	118	538
18	121	518
19	125	500
20	128	483
21	131	467
22	135	452
23	138	439
24	142	426
25	145	414
26	149	403
27	152	392
28	156	381
29	159	371
30	162	361
31	165	351
32	168	342
33	172	333
34	175	325
35	178	316
36	181	309
37	184	301
38	187	293
39	190	286
40	194	279
41	197	272
42	200	266
43	203	259
44	207	253
45	210	246
46	213	240
47	216	234
48	219	228
49	222	222
50	226	217
51	229	211
52	232	206
53	235	201
54	239	195
55	242	190
56	245	185
57	249	180
58	252	175
59	256	170
60	259	166
61	263	161
62	266	156
63	269	151
64	272	146
65	275	142
66	279	137
67	282	132
68	285	128
69	288	123
70	291	119
71	294	114
72	298	110
73	301	105
74	304	101
75	307	97
76	310	92
77	314	88
78	317	84
79	320	80
80	323	75
81	326	71
82	330	67
83	333	63
84	336	59
85	339	55
86	342	51
87	346	47
88	349	43
89	352	39
90	356	35
91	359	31
92	362	27
93	365	23
94	368	19
95	372	15
96	375	11
97	378	7
98	381	3
99	384	0
